scenario,method,heterogeneity,n_tasks,hi_res_n_sim,hi_res_boot_reps,hi_res_bias,hi_res_coverage,hi_res_ci_width,base_n_sim,base_boot_reps,base_bias,base_coverage,base_ci_width,coverage_change,ci_width_ratio
T20_pw0.85_pc0.85_h0.1,A_proposed_offdiag_cluster,0.1,20,1000,1000,-0.000826,0.997,0.152945,2000,200,6.4e-05,0.9885,0.151106,0.0085,1.0122
T20_pw0.85_pc0.85_h0.1,B_naive_offdiag_pairwise,0.1,20,1000,1000,-0.000826,0.844,0.076413,2000,200,6.4e-05,0.8465,0.075265,-0.0025,1.0153
T20_pw0.85_pc0.85_h0.1,C_diagonal_contaminated_cluster,0.1,20,1000,1000,-0.034232,0.725,0.128584,2000,200,-0.033411,0.7405,0.126453,-0.0155,1.0169
T60_pw0.85_pc0.7_h0.175,A_proposed_offdiag_cluster,0.175,60,1000,1000,0.010481,0.979,0.111008,2000,200,0.010932,0.9735,0.109179,0.0055,1.0168
T60_pw0.85_pc0.7_h0.175,B_naive_offdiag_pairwise,0.175,60,1000,1000,0.010481,0.698,0.05043,2000,200,0.010932,0.6825,0.049533,0.0155,1.0181
T60_pw0.85_pc0.7_h0.175,C_diagonal_contaminated_cluster,0.175,60,1000,1000,-0.02519,0.655,0.098159,2000,200,-0.024874,0.6545,0.096876,0.0005,1.0132
T60_pw0.85_pc0.85_h0.25,A_proposed_offdiag_cluster,0.25,60,1000,1000,-0.000314,0.974,0.115732,2000,200,-0.00104,0.9775,0.113731,-0.0035,1.0176
T60_pw0.85_pc0.85_h0.25,B_naive_offdiag_pairwise,0.25,60,1000,1000,-0.000314,0.665,0.047466,2000,200,-0.00104,0.6455,0.046496,0.0195,1.0209
T60_pw0.85_pc0.85_h0.25,C_diagonal_contaminated_cluster,0.25,60,1000,1000,-0.040108,0.337,0.099188,2000,200,-0.040537,0.3225,0.097449,0.0145,1.0178
