scenario,n_tasks,p_w,p_c,heterogeneity,true_delta,method,mean_estimate,bias,empirical_se,coverage_95,noncoverage_rate,mc_se_coverage,mean_ci_width,n_sim
T60_pw0.85_pc0.85_h0.1,60,0.85,0.85,0.1,0.0,C_diagonal_contaminated_cluster,-0.033347,-0.033347,0.013607,0.1965,0.8035,0.0089,0.073253,2000
T60_pw0.85_pc0.85_h0.175,60,0.85,0.85,0.175,0.0,A_proposed_offdiag_cluster,0.000105,0.000105,0.019456,0.9895,0.0105,0.0023,0.09954,2000
T60_pw0.85_pc0.85_h0.175,60,0.85,0.85,0.175,0.0,B_naive_offdiag_pairwise,0.000105,0.000105,0.019456,0.745,0.255,0.0097,0.044749,2000
T60_pw0.85_pc0.85_h0.175,60,0.85,0.85,0.175,0.0,C_diagonal_contaminated_cluster,-0.035655,-0.035655,0.017491,0.2895,0.7105,0.0101,0.084615,2000
T60_pw0.85_pc0.85_h0.25,60,0.85,0.85,0.25,0.0,A_proposed_offdiag_cluster,-0.00104,-0.00104,0.02454,0.9775,0.0225,0.0033,0.113731,2000
T60_pw0.85_pc0.85_h0.25,60,0.85,0.85,0.25,0.0,B_naive_offdiag_pairwise,-0.00104,-0.00104,0.02454,0.6455,0.3545,0.0107,0.046496,2000
T60_pw0.85_pc0.85_h0.25,60,0.85,0.85,0.25,0.0,C_diagonal_contaminated_cluster,-0.040537,-0.040537,0.022196,0.3225,0.6775,0.0105,0.097449,2000
T60_pw0.85_pc0.7_h0.1,60,0.85,0.7,0.1,-0.15,A_proposed_offdiag_cluster,-0.149379,0.000621,0.016191,0.998,0.002,0.001,0.096552,2000
T60_pw0.85_pc0.7_h0.1,60,0.85,0.7,0.1,-0.15,B_naive_offdiag_pairwise,-0.149379,0.000621,0.016191,0.861,0.139,0.0077,0.048933,2000
T60_pw0.85_pc0.7_h0.1,60,0.85,0.7,0.1,-0.15,C_diagonal_contaminated_cluster,-0.182794,-0.032794,0.014661,0.3545,0.6455,0.0107,0.084184,2000
T60_pw0.85_pc0.7_h0.175,60,0.85,0.7,0.175,-0.15,A_proposed_offdiag_cluster,-0.139068,0.010932,0.021776,0.9735,0.0265,0.0036,0.109179,2000
T60_pw0.85_pc0.7_h0.175,60,0.85,0.7,0.175,-0.15,B_naive_offdiag_pairwise,-0.139068,0.010932,0.021776,0.6825,0.3175,0.0104,0.049533,2000
T60_pw0.85_pc0.7_h0.175,60,0.85,0.7,0.175,-0.15,C_diagonal_contaminated_cluster,-0.174874,-0.024874,0.020214,0.6545,0.3455,0.0106,0.096876,2000
T60_pw0.85_pc0.7_h0.25,60,0.85,0.7,0.25,-0.15,A_proposed_offdiag_cluster,-0.127593,0.022407,0.026777,0.9205,0.0795,0.006,0.123389,2000
T60_pw0.85_pc0.7_h0.25,60,0.85,0.7,0.25,-0.15,B_naive_offdiag_pairwise,-0.127593,0.022407,0.026777,0.5,0.5,0.0112,0.050622,2000
T60_pw0.85_pc0.7_h0.25,60,0.85,0.7,0.25,-0.15,C_diagonal_contaminated_cluster,-0.167234,-0.017234,0.025066,0.804,0.196,0.0089,0.110928,2000
T60_pw0.85_pc0.5_h0.1,60,0.85,0.5,0.1,-0.35,A_proposed_offdiag_cluster,-0.349493,0.000507,0.0168,0.994,0.006,0.0017,0.10093,2000
T60_pw0.85_pc0.5_h0.1,60,0.85,0.5,0.1,-0.35,B_naive_offdiag_pairwise,-0.349493,0.000507,0.0168,0.8715,0.1285,0.0075,0.051375,2000
T60_pw0.85_pc0.5_h0.1,60,0.85,0.5,0.1,-0.35,C_diagonal_contaminated_cluster,-0.382893,-0.032893,0.015277,0.4305,0.5695,0.0111,0.089185,2000
T60_pw0.85_pc0.5_h0.175,60,0.85,0.5,0.175,-0.35,A_proposed_offdiag_cluster,-0.339909,0.010091,0.022373,0.974,0.026,0.0036,0.11268,2000
T60_pw0.85_pc0.5_h0.175,60,0.85,0.5,0.175,-0.35,B_naive_offdiag_pairwise,-0.339909,0.010091,0.022373,0.7135,0.2865,0.0101,0.051962,2000
T60_pw0.85_pc0.5_h0.175,60,0.85,0.5,0.175,-0.35,C_diagonal_contaminated_cluster,-0.375704,-0.025704,0.020765,0.6765,0.3235,0.0105,0.100829,2000
T60_pw0.85_pc0.5_h0.25,60,0.85,0.5,0.25,-0.35,A_proposed_offdiag_cluster,-0.322119,0.027881,0.028458,0.899,0.101,0.0067,0.12875,2000
T60_pw0.85_pc0.5_h0.25,60,0.85,0.5,0.25,-0.35,B_naive_offdiag_pairwise,-0.322119,0.027881,0.028458,0.4355,0.5645,0.0111,0.052876,2000
T60_pw0.85_pc0.5_h0.25,60,0.85,0.5,0.25,-0.35,C_diagonal_contaminated_cluster,-0.361692,-0.011692,0.026886,0.861,0.139,0.0077,0.116548,2000
